id,brand,model,variants,segment,price,batteryKwh,rangeKm,rangeStandard,batteryType,acCharging,dcCharging,clearanceMm,vehicleWarranty,batteryWarranty,motorWarranty,distributor,sourceUrl,officialSourceUrl,sourceTier,checkedAt
"neta-x","Neta","X","Comfort · Luxury","SUV","5399000","52","323","WLTP","Lithium Iron Phosphate (LFP)","6.6","","","5 years or 150,000 km (General Parts)","","8 years or 180,000 km","","https://www.ev-nepal.com/cars/hozon-neta-x-price-in-nepal","","market-directory","2026-07-27"
"deepal-s05","Deepal","S05","Plus · Max","SUV","5399000","56.1","405","WLTP","Lithium Iron Phosphate (LFP)","7 KW","151.5 KW / 10-80% in 15 minutes (30-80%)","","","","","MAW Vriddhi Autocorp Pvt. Ltd.","https://www.ev-nepal.com/cars/deepal-s05-price-in-nepal","","market-directory","2026-07-27"
"icaur-v23","iCAUR","V23","","SUV","5399000","59.93","401","CLTC","LFP","7.2 kW / approximately 8.8 hours","85 kW / 30–80% in approximately 50 minutes","210","3 years / 125,000 km","8 years / 160,000 km","8 years","SPG Automobiles Pvt. Ltd.","https://icaurnepal.com/ICAURV23EV","https://icaurnepal.com/ICAURV23EV","official-source-linked","2026-07-27"
"jmev-gse","JMEV","GSE Elight","","SUV","5399000","49","400","NEDC","","","","145","","","","","https://www.ev-nepal.com/cars/jmev-gse-elight-price-in-nepal","","market-directory","2026-07-27"
"byd-m6","BYD","M6","","MPV","5500000","71.8","440","WLTP","BYD Blade Battery","7","115","175","","","","Cimex Inc. Pvt. Ltd.","https://www.ev-nepal.com/cars/byd-m6-price-in-nepal","https://www.byd.com/np","official-source-linked","2026-07-27"
"tata-curvv","Tata","Curvv.ev","","SUV","5699000","55","400","C75","","7.2 / ~7.9hrs (SOC 10% to 100% from 7.2 kW AC Fast Charger, Curvv.ev 55)","70 / 10-80% in ~40 min (70 kW+ charger)","186","3 Year or 1,25,000 km (whichever is earlier)","","8 Year or 1,60,000 km (whichever is earlier)","Sipradi Trading Pvt. Ltd.","https://www.ev-nepal.com/cars/tata-curvv-ev-price-in-nepal","https://cars.tatamotors.com.np/","official-source-linked","2026-07-27"
"mahindra-be6","Mahindra","BE 6","Pack 1 · Pack 2 · Pack 3","SUV","5700000","59","550","WLTP","","","140 kW / 10-80% in 20 min (20 to 80%)","","","","","Agni Incorporated Pvt. Ltd.","https://www.ev-nepal.com/cars/mahindra-be6-price-in-nepal","","market-directory","2026-07-27"
"jaecoo-j5","Jaecoo","J5 EV","","SUV","5699000","58","400","WLTP","Lithium iron phosphate","6.6","130 / 10-80% in 28m","","","","","SPG Automobiles Pvt. Ltd.","https://www.ev-nepal.com/cars/jaecoo-j5-price-in-nepal","https://omodajaecoonepal.com/price","official-source-linked","2026-07-27"
"gac-aiony","GAC","Aion Y","","MPV","5850000","61.5","510","NEDC","Lithium Iron Phosphate Battery (LFP)","6.6","","183","8 years or 160000km","","3 years or 125000km","","https://www.ev-nepal.com/cars/gac-aion-y-price-in-nepal","","market-directory","2026-07-27"
"hyundai-kona","Hyundai","KONA Electric","GL · GLS","SUV","5996000","39.2","305","WLTP","Lithium-ion polymer","6-8 hours","","158","8 years or 150000km","","8 years or 150000km","Laxmi Intercontinental Pvt. Ltd.","https://www.ev-nepal.com/cars/hyundai-kona-price-in-nepal","https://laxmihyundai.com/price-list","official-source-linked","2026-07-27"
"geely-ex5","Geely","Galaxy EX5","Pro · Max","SUV","6200000","60.22","425","WLTP","Lithium Iron Phosphate (LFP)","11","100 / 10-80% in 28 mins","","7 Year, Unlimited km","","","","https://www.ev-nepal.com/cars/geely-galaxy-ex5-price-in-nepal","","market-directory","2026-07-27"
"byd-atto3","BYD","ATTO 3","Advanced · Superior","SUV","6199000","49.92","345","WLTP","LFP","8.5 h with 2kW AC","70","175","","","","Cimex Inc. Pvt. Ltd.","https://www.ev-nepal.com/cars/byd-atto-3-price-in-nepal","https://www.byd.com/np","official-source-linked","2026-07-27"
"riddara-rd6","Riddara","RD6","","Pickup","6500000","63","320","WLTP","Lithium Iron Phosphate","6.6 kW","","225","","","","","https://www.ev-nepal.com/cars/riddara-rd6-price-in-nepal","","market-directory","2026-07-27"
"kia-niro","Kia","Niro EV","","SUV","6990000","64","460","WLTP","Lithium-Ion","11 kW / 6 hr 20 min (10-100%) at 11kW; 9 hr 25 min at 7kW","80 kW / 10-80% in 49 min (10%-80%); 50kW - 65 min","150","8 years","","3 years","Continental Trading Enterprises Pvt. Ltd.","https://www.ev-nepal.com/cars/kia-niro-price-in-nepal","","market-directory","2026-07-27"
"jaecoo-j6t","Jaecoo","J6T","","SUV","6999000","65.69","400","WLTP","Lithium iron phosphate","6.6kW / 10.5h","80kw / 10-80% in 30%-80% 30 min","200","8 years or 150000km","","8 years or 150000km","SPG Automobiles Pvt. Ltd.","https://www.ev-nepal.com/cars/jaecoo-j6-price-in-nepal","https://omodajaecoonepal.com/price","official-source-linked","2026-07-27"
"deepal-l07","Deepal","L07","","Luxury","6999000","66.8","540","WLTP","Ternary Lithium (NMC)","","10-80% in 35 min","155","","","","MAW Vriddhi Autocorp Pvt. Ltd.","https://www.ev-nepal.com/cars/deepal-l07-price-in-nepal","","market-directory","2026-07-27"
"gac-aionv","GAC","Aion V","Elite · Luxury","SUV","6999000","62.7","520","NEDC","LFP","6.6 kW","","185","8 Years or 1,50,000 Km","","","","https://www.ev-nepal.com/cars/gac-aion-v-price-in-nepal","","market-directory","2026-07-27"
"leapmotor-c10","Leapmotor","C10","","SUV","7200000","69.9","420","WLTP","LFP","6.6 / 6.1h (30%-80%)","10-80% in 30min (30%-80%)","190","","","","Shangrila Motors Pvt. Ltd.","https://www.ev-nepal.com/cars/leapmotor-c10-price-in-nepal","https://www.leapmotornepal.com/","official-source-linked","2026-07-27"
"deepal-s07","Deepal","S07","","SUV","7499000","66.8","410","WLTP","Lithium (LFP)","","10-80% in 35 min","","","","","MAW Vriddhi Autocorp Pvt. Ltd.","https://www.ev-nepal.com/cars/deepal-s07-price-in-nepal","","market-directory","2026-07-27"
"byd-sealion7","BYD","SEALION 7","","SUV","7999000","71.8","440","WLTP","BYD Blade Battery","7","110","","","","","Cimex Inc. Pvt. Ltd.","https://www.ev-nepal.com/cars/byd-sealion-7-price-in-nepal","https://www.byd.com/np","official-source-linked","2026-07-27"
"zeekr-x","Zeekr","X","RWD · AWD","Luxury","7999000","66","400","WLTP","Lithium-ion (NCM)","","","191","","","","","https://www.ev-nepal.com/cars/zeekr-x-price-in-nepal","","market-directory","2026-07-27"
"mg-im6","MG","IM6","","Luxury","8199000","75","450","WLTP","LFP","11","153 / 10-80% in 20 mins (30% to 80%)","175","1 year","","","Paramount Motors Pvt. Ltd.","https://www.ev-nepal.com/cars/mg-im6-price-in-nepal","https://mgmotor.com.np/","official-source-linked","2026-07-27"
"xpeng-g6","XPENG","G6","","SUV","8499000","66","435","WLTP","LFP","up to 11 (3-phase) / 7.5hrs (5-100%)","280 / 10-80% in 20min","190","5 Years or 1,20,000 Km (whichever comes earlier on non moving parts)","","8 Years or 1,60,000 Km","CG Motors Pvt. Ltd.","https://www.ev-nepal.com/cars/xpeng-g6-price-in-nepal","","market-directory","2026-07-27"
"hyundai-ioniq5","Hyundai","IONIQ 5","","Luxury","9296000","58.9","375","WLTP","","","","","","","","Laxmi Intercontinental Pvt. Ltd.","https://www.ev-nepal.com/cars/hyundai-ioniq-5-price-in-nepal","https://laxmihyundai.com/price-list","official-source-linked","2026-07-27"
"smart-1","smart","#1","","Luxury","10000000","66","440","WLTP","Lithium (NMC) / Ternary Lithium Battery","22 (Pro+ AC max 7.4kW, Premium AC max 22kW)","","","5 Years or 150,000 km (whichever comes first)","","","","https://www.ev-nepal.com/cars/smart-1-price-in-nepal","","market-directory","2026-07-27"
"smart-3","smart","#3","","Luxury","10000000","66","455","WLTP","Lithium (NMC)","","","","","","","","https://www.ev-nepal.com/cars/smart-3-price-in-nepal","","market-directory","2026-07-27"
"deepal-e07","Deepal","E07","","Luxury","10990000","90","566","WLTP","Ternary Lithium (Golden Shield Battery)","7","240 / 10-80% in 15 minutes","200","","","","MAW Vriddhi Autocorp Pvt. Ltd.","https://www.ev-nepal.com/cars/deepal-e07-price-in-nepal","","market-directory","2026-07-27"
"byd-seal","BYD","SEAL","Dynamic · Premium · Performance","Luxury","11000000","71.8","440","WLTP","BYD Blade Battery","7","110","","","","","Cimex Inc. Pvt. Ltd.","https://www.ev-nepal.com/cars/byd-sealion-7-price-in-nepal","https://www.byd.com/np","official-source-linked","2026-07-27"
"maxus-eterron","Maxus","eTerron 9","","Pickup","11800000","102","560","NEDC","","11kw / 12h (5%-100%)","115kw / 10-80% in 0.7h (20%-80%)","","","","","","https://www.ev-nepal.com/cars/maxus-eterron-9-price-in-nepal","","market-directory","2026-07-27"
"kia-ev6","Kia","EV6","","Luxury","12590000","77.4","528","WLTP","NCM (Pouch)","","350 / 10-80% in 18 min (350 kW fast charger, charged to 80%, 2WD 19","","","","","Continental Trading Enterprises Pvt. Ltd.","https://www.ev-nepal.com/cars/kia-ev6-price-in-nepal","","market-directory","2026-07-27"
"avatr-11","Avatr","11","","Luxury","16000000","116","680","NEDC","Ternary lithium (NMC)","11","240","","","","","","https://www.ev-nepal.com/cars/avatr-avatr-price-in-nepal","","market-directory","2026-07-27"
"mg-cyberster","MG","Cyberster","","Luxury","16800000","77","443","WLTP","","11 kW / 12.5 h (7 kW AC Fast Charger 10-100%)","144 kW / 10-80% in 38 mins (150 kW DC Public Rapid Charger)","","7 years / 150,000 km","","","Paramount Motors Pvt. Ltd.","https://www.ev-nepal.com/cars/mg-cyberster-price-in-nepal","https://mgmotor.com.np/","official-source-linked","2026-07-27"
"kia-ev9","Kia","EV9","","Luxury","17990000","77.4","512","WLTP","NCM","","350","","","","","Continental Trading Enterprises Pvt. Ltd.","https://www.ev-nepal.com/cars/kia-ev9-price-in-nepal","","market-directory","2026-07-27"
"bmw-ix2","BMW","iX2","","Luxury","17996000","66.5","475","WLTP","","","","","3 years or 60,000 km free maintenance; extended warranty up to 5 years or 200,000 km","","","Laxmi Premium Motors Pvt. Ltd.","https://www.ev-nepal.com/cars/bmw-ix2-price-in-nepal","","market-directory","2026-07-27"
"xpeng-x9","XPENG","X9","","Luxury","23000000","84.5","500","WLTP","","","10-80% in 12 minutes","100","5 years manufacturer warranty or first 120,000km, whichever comes first","","","CG Motors Pvt. Ltd.","https://www.ev-nepal.com/cars/xpeng-x9-price-in-nepal","","market-directory","2026-07-27"
"maxus-mifa7","Maxus","MIFA 7","","Luxury","24500000","90","635","WLTP","","11kW / 8 hrs 30 mins (5-80%)","120kW / 10-80% in 40 mins (5-80%)","","5 years / 100,000 km","","","","https://www.ev-nepal.com/cars/maxus-mifa-7-price-in-nepal","","market-directory","2026-07-27"
